{'action_bound': 1,
 'action_dim': 1,
 'actor_l1': 400,
 'actor_l2': 300,
 'actor_lr': 0.0001,
 'actor_rnn': 20,
 'buffer_size': 1000000,
 'critic_l1': 400,
 'critic_l2': 300,
 'critic_lr': 0.001,
 'critic_rnn': 20,
 'discretization_time': 0.001,
 'gamma': 0.99,
 'load_model': False,
 'max_episode_len': 1200,
 'max_episodes': 500,
 'mini_batch_size': 1000,
 'noise_var': 0.0925,
 'random_seed': 1754,
 'save_model': True,
 'scaling': True,
 'state_dim': 2,
 'summary_dir': '/afs/crc.nd.edu/user/k/kkosaraj/GITHUB_REP_DCBF/my_scripts/test_name=dcbf_2/gamma=0.99/time_steps=2',
 'tau': 0.001,
 'time_steps': 2,
 'use_gpu': True}
(array([0.02971586, 0.02961047], dtype=float32), array([ 19.491829, 199.30959 ], dtype=float32))
| Reward: -71.4820 | Episode: 148 | Qmax: 243.2235
| Reward: -16.7592 | Episode: 149 | Qmax: 228.0561
| Reward: -9.1259 | Episode: 150 | Qmax: 225.2887
| Reward: -37.6969 | Episode: 151 | Qmax: 213.5226
| Reward: -55.5491 | Episode: 152 | Qmax: 206.9210
| Reward: -11.7462 | Episode: 153 | Qmax: 201.6029
| Reward: -174.3799 | Episode: 154 | Qmax: 196.4763
| Reward: -24.5252 | Episode: 155 | Qmax: 182.2184
| Reward: -52.5532 | Episode: 156 | Qmax: 181.6039
| Reward: -66.0182 | Episode: 157 | Qmax: 177.3911
| Reward: -15.5621 | Episode: 158 | Qmax: 174.9713
| Reward: -29.9589 | Episode: 159 | Qmax: 176.9294
| Reward: -116.8988 | Episode: 160 | Qmax: 181.2167
| Reward: -390.5402 | Episode: 161 | Qmax: 186.8426
| Reward: -38.6856 | Episode: 162 | Qmax: 185.7089
| Reward: -22.7248 | Episode: 163 | Qmax: 191.7687
| Reward: -16.0241 | Episode: 164 | Qmax: 194.0058
| Reward: -244.4404 | Episode: 165 | Qmax: 195.3383
| Reward: -62.1558 | Episode: 166 | Qmax: 195.2776
| Reward: -175.0504 | Episode: 167 | Qmax: 193.5494
| Reward: -11.4704 | Episode: 168 | Qmax: 191.8055
| Reward: -23.3269 | Episode: 169 | Qmax: 183.0438
| Reward: -163.8899 | Episode: 170 | Qmax: 176.2030
| Reward: -172.0334 | Episode: 171 | Qmax: 174.6547
| Reward: -201.0261 | Episode: 172 | Qmax: 172.6471
| Reward: -71.7094 | Episode: 173 | Qmax: 168.3755
| Reward: -29.9960 | Episode: 174 | Qmax: 164.1596
| Reward: -37.9243 | Episode: 175 | Qmax: 165.9726
| Reward: -225.2318 | Episode: 176 | Qmax: 162.9964
| Reward: -172.4826 | Episode: 177 | Qmax: 157.5997
| Reward: -38.1146 | Episode: 178 | Qmax: 160.9558
| Reward: -11.1464 | Episode: 179 | Qmax: 159.2256
| Reward: -60.5050 | Episode: 180 | Qmax: 153.8220
| Reward: -112.0600 | Episode: 181 | Qmax: 149.8035
| Reward: -62.3684 | Episode: 182 | Qmax: 147.2452
| Reward: -24.6779 | Episode: 183 | Qmax: 148.6754
